iter	RMSE
0	1.841299056
1	1.732170035
2	1.641776969
3	1.547171119
4	1.471361699
5	1.395908183
6	1.327301964
7	1.261147349
8	1.198477702
9	1.145318737
10	1.100242927
11	1.054653706
12	1.013374411
13	0.9745887537
14	0.9454369477
15	0.918975558
16	0.8964949572
17	0.8721249887
18	0.8497712999
19	0.8280878475
20	0.8134392952
21	0.7913596702
22	0.7788081128
23	0.7676327461
24	0.7552287971
25	0.7487295223
26	0.736071448
27	0.7240687966
28	0.7109015993
29	0.704625367
30	0.6973728235
31	0.6894509388
32	0.6846134976
33	0.6759081191
34	0.66708458
35	0.6571372437
36	0.65586833
37	0.6491023858
38	0.6398143741
39	0.6353970328
40	0.6294536117
41	0.623231331
42	0.6184530723
43	0.616547817
44	0.6114930919
45	0.6042687818
46	0.6005827318
47	0.5967369615
48	0.5906016444
49	0.5894210089
50	0.5844276331
51	0.5833093179
52	0.5819237386
53	0.5785623695
54	0.5749010953
55	0.570760887
56	0.5699329486
57	0.5656391904
58	0.5614894028
59	0.5574557886
60	0.5541881862
61	0.5506964763
62	0.550405607
63	0.5485896583
64	0.5454448298
65	0.5407357485
66	0.536262253
67	0.5325030513
68	0.5285437012
69	0.5249123087
