iter	Passed	Remaining
0	137	137408
1	138	68881
2	138	46032
3	138	34579
4	139	27712
5	139	23143
6	140	19876
7	140	17427
8	140	15524
9	141	14001
10	141	12753
11	142	11714
12	142	10835
13	143	10082
14	143	9424
15	144	8858
16	144	8357
17	144	7908
18	145	7507
19	145	7146
20	146	6819
21	146	6524
22	147	6252
23	147	6004
24	148	5775
25	148	5557
26	148	5360
27	149	5177
28	149	5008
29	150	4850
30	150	4701
31	150	4563
32	151	4427
33	151	4306
34	151	4190
35	152	4081
36	152	3975
37	153	3877
38	153	3784
39	153	3695
40	154	3612
41	154	3532
42	155	3455
43	155	3379
44	155	3309
45	156	3243
46	156	3179
47	157	3118
48	157	3062
49	158	3002
50	158	2948
51	158	2893
52	159	2842
53	159	2794
54	159	2749
55	160	2704
56	160	2661
57	161	2620
58	161	2580
59	162	2541
60	162	2503
61	163	2466
62	163	2428
63	163	2393
64	164	2360
65	164	2328
66	164	2296
67	165	2266
68	165	2236
69	166	2208
